code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
LANGL1973,0.0,{},English Communication Skills for Architecture and Engineering,"['Pham Adrien (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNEER1300,0.0,{},Néerlandais général et académique - Niveau moyen,"['Bufkens Hilde (coordinateur)', '']",0.0,{},0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
LNEER1500,0.0,{},Interfac - Néerlandais général et académique - Niveau approfondi,"['Bufkens Hilde (coordinateur)', ' Dachy Valérie', '']",0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LNEER2500,0.0,{},Séminaire d'insertion professionnelle: néerlandais - niveau moyen,"['Demeulenaere Isabelle (coordinateur)', ' Lambrecht Marie-Laurence', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESPA1100,0.0,{},Espagnol niveau élémentaire (0-A2),"['Calvo Cantero Maria Del Carmen (supplée Vallejo Villamor Carmen)', ' Diaz Charlotte (supplée Calvo Cantero Maria Del Carmen)', ' Garcia Migura Begona', ' Vallejo Villamor Carmen (coordinateur)', '']",0.0,{},0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
LESPA1300,0.0,{},Espagnol niveau moyen,"['Vallejo Villamor Carmen', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESPA1500,0.0,{},Espagnol - Niveau approfondi (B1.2 - B2.1),"['Tirado Fernandez Alicia Maria (supplée Vallejo Villamor Carmen)', ' Vallejo Villamor Carmen (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESPA1101,0.0,{},Espagnol Niveau élémentaire 1ère partie (0-A1),"['Calvo Cantero Maria Del Carmen (supplée Vallejo Villamor Carmen)', ' Diaz Charlotte (supplée Calvo Cantero Maria Del Carmen)', ' Garcia Migura Begona', ' Landa Diestro Juan', ' Tirado Fernandez Alicia Maria', ' Vallejo Villamor Carmen (coordinateur)', '']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
LALLE1100,0.0,{},Allemand - Niveau élémentaire,"['Klein Caroline', ' Rinder Ann (coordinateur)', '']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LICAR2101,0.0,{},Théorie et recherche en sciences humaines : habitation,"['Masson Olivier', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR2102,0.0,{},Architecture et société,"['Hanin Yves', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
LICAR2301,0.0,{},Analyse et composition de l'urbain,"['Gilot Christian', '']",0.0,{},0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
LICAR2312,0.0,{},Ingénierie territoriale et environnementale,"['Gallez Olivier', ' Soares Frazao Sandra', '']",0.0,{},0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
LGCIV2033,0.0,{},Steel and composite steel-concrete structures,"['Doneux Catherine', ' Vassart Olivier', '']",0.0,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LGCIV2043,0.0,{},Structures en bois,"['Latteur Pierre', '']",0.0,{},0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
LICAR2801,1.0168512075199603,"{""solaire outils simulation"": 1, ""solaire outils"": 1, ""solaire"": 1, ""climatique psychrometrie confort"": 1, ""climatique psychrometrie"": 1, ""climatique"": 1}",Théorie et recherche en sciences physiques :édification soutenable,"['Altomonte Sergio', ' Stephan Andre', ' Van Moeseke Geoffrey', '']",0.0,{},0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
LICAR2901,0.0,{},Droit de l'espace bâti et non bâti,"['Born Charles-Hubert', ' Thiebaut Christophe', ' Thiebaut Christophe (supplée Born Charles-Hubert)', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTECO2100,0.0,{},"Sociétés, cultures, religions : lectures bibliques","['Ausloos Hans', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LTECO2200,0.2653538979809017,"{""rechauffement climatique pression"": 1, ""rechauffement climatique"": 1, ""climatique pression demographique"": 1, ""climatique pression"": 1, ""climatique"": 1}","Sociétés, cultures, religions : questions humaines fondamentales","['Burnet Régis', ' Martens Dominique', '']",0.20750028911827095,"{""rechauffement climatique pression"": 1, ""rechauffement climatique"": 1}",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
LTECO2300,0.0,{},"Sociétés, cultures, religions : questions éthiques","['Lobo Bustamante Marcela', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC2101,0.1394488029022413,"{""ecologie industrielle vue"": 1, ""ecologie industrielle"": 1, ""ecologie"": 1}",Projet d'architecture 4 : approfondissement,"['Boulaioun Abdelmajid', ' Schmitz David', ' Van de Kerchove Pascale', '']",0.0,{},0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0
LBARC2120,0.0,{},Moyens d'expression et de représentation : narration graphique/plastique,"['Le Roi Éva', ' Piroux Vincent', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
LBARC2160,0.0,{},Equipements du bâtiment et flux,"['Bodart Magali', ' Roger France Jean-Francois', '']",0.0,{},0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
LBARC2161,0.0,{},Conception des structures 2,"['Sottiaux Luc', '']",0.0,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LBARC2162,0.0,{},"Construction, matériaux et équipements","['Gillis Christophe', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC2140,0.0,{},Histoire de l'architecture : enjeux contemporains,"['Carboni Gregorio', '']",0.0,{},0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
LBARC2141,0.0,{},Théorie de l'architecture : enjeux contemporains,"['Claeys Damien', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
