id,climate,energy,environment,durability,total
SC_54934032,0,0,0,0,0
SC_51017076,0,0,0,0,0
SC_53284240,0,0,0,0,0
SC_51016803,0,0,0,0,0
SC_53284317,0,0,2,0,2
SC_54552034,0,0,0,1,1
SC_54556615,0,0,0,1,1
SC_54295020,0,0,0,0,0
SC_54532813,0,0,0,0,0
SC_51016804,0,0,0,0,0
SC_55019002,1,0,3,6,8
SC_51017073,0,0,0,0,0
SC_51016800,0,0,0,0,0
SC_54552040,0,0,0,1,1
SC_54550446,0,0,0,1,1
SC_55586743,2,1,2,2,3
SC_54558795,0,0,0,1,1
SC_55011324,0,0,0,0,0
SC_54540793,0,0,0,0,0
SC_51007574,1,0,0,0,1
SC_51016796,1,0,0,0,1
SC_54629281,1,1,0,1,1
SC_54598076,0,0,0,0,0
SC_51016807,1,1,1,1,2
SC_54629278,0,0,0,0,0
SC_53689751,1,1,0,1,1
SC_53678625,1,1,0,1,1
SC_53419709,5,3,1,3,6
SC_53845474,1,1,0,1,1
SC_55553029,0,0,0,0,0
SC_54536721,0,0,0,0,0
SC_54533410,0,0,0,0,0
SC_54535083,2,1,1,2,3
SC_55586744,2,1,2,2,3
SC_55017783,1,0,0,1,1
SC_54542934,2,1,2,2,3
SC_53675369,1,1,0,1,1
SC_53935825,1,1,0,1,1
SC_53614697,1,1,0,2,2
SC_54740871,0,0,0,0,0
SC_54930612,0,0,0,0,0
SC_54928878,0,0,0,0,0
SC_51590140,0,0,0,0,0
SC_51590142,0,0,0,0,0
SC_50545994,0,0,0,0,0
SC_53695460,1,1,0,1,1
SC_53419614,3,2,1,3,4
SC_51016805,5,3,2,3,7
SC_50545999,0,0,0,0,0
SC_55017964,0,0,0,0,0
SC_54069297,0,0,0,0,0
SC_53613002,0,0,0,0,0
SC_54069010,0,0,0,0,0
SC_55590646,0,0,0,0,0
SC_53670893,0,0,0,0,0
SC_53282603,0,0,0,0,0
SC_54069876,0,0,0,0,0
SC_53670879,0,0,0,0,0
SC_53283298,0,0,0,0,0
SC_54069214,0,0,0,0,0
SC_54069816,0,0,0,0,0
SC_54533084,0,0,0,0,0
SC_54532822,0,0,0,0,0
SC_50838445,0,0,0,0,0
SC_50705797,0,0,0,0,0
SC_55030225,0,0,0,0,0
SC_55029989,0,0,0,0,0
SC_53646380,0,0,0,0,0
SC_51230649,0,0,0,1,1
SC_50705656,0,0,0,0,0
SC_50705655,1,0,0,0,1
SC_51858320,0,0,0,0,0
SC_54844285,0,0,1,0,1
SC_54939159,0,0,1,0,1
SC_54935821,0,0,1,0,1
SC_54935125,0,0,1,0,1
SC_53613012,6,5,4,4,13
SC_50459913,1,0,0,1,2
