id,climate,energy,environment,durability
LBRAT2103,0,0,0,0
LBRAT2104,0,0,0,0
LBRES2101,0,0,0,0
LBRES2102,0,0,0,0
LBRES2101A,0,0,0,0
LBRES2104,0,0,0,0
LBRES2105,0,0,0,0
LBRMC2101,0,0,0,0
LBRES2206,0,0,0,0
LBRMC2201,0,0,0,0
LBRMC2202,0,0,0,0
LBRNA2102,0,0,0,0
LBRNA2201,0,0,0,0
LBRNA2202,0,0,0,0
LBRPP2211,0,0,0,0
LBRTE2201,0,0,0,0
LBRTI2101,0,0,0,0
LBRTI2101A,0,0,0,0
LBRTI2102,0,0,0,0
LCCR1210,0,0,0,0
LCCR1211,0,0,0,0
LCCR1212,0,0,0,0
LCCR1214,0,0,0,0
LCCR1213,0,0,0,0
LCCR1215,0,0,0,0
LCCR1216,0,0,0,0
LCCR1310,0,0,0,0
LCCR1217,0,0,0,0
LCHIN1100,0,0,0,0
LCHIN1300,0,0,0,0
LCHIN1500,0,0,0,0
LCHIN1700,0,0,0,0
LCHM1111,0,0,0,0
LCHM1111A,0,0,0,0
LCHM1111B,0,0,0,0
LCHM1112,0,0,0,0
LCHM1141,0,0,0,0
LCHM1141A,0,0,0,0
LCHM1141B,0,0,0,0
LCHM1211,0,0,0,0
LCHM1211A,0,0,0,0
LCHM1231,0,0,0,0
LCHM1242,0,0,0,0
LCHM1244,0,0,0,0
LCHM1245,0,0,0,0
LCHM1245B,0,0,0,0
LCHM1252,0,0,0,0
LCHM1253,0,0,0,0
LCHM1254,0,0,0,0
LCHM1271,0,0,0,0
LCHM1271A,0,0,0,0
LCHM1271V,0,0,0,0
LCHM1300,0,0,0,0
LCHM1319,0,0,0,0
LCHM1311,1,0,0,0
LCHM1320,0,0,0,0
LCHM1321,0,0,0,0
LCHM1322,0,0,0,0
LCHM1331,0,0,0,0
LCHM1341,0,0,0,0
LCHM1342,0,0,0,0
LCHM1351,0,0,0,0
LCHM1352,0,0,0,0
LCHM1353,0,0,0,0
LCHM1361,0,0,0,0
LCHM1371,0,0,0,0
