code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
MECA0023-1,0.0,{},87,['Jean-Philippe\xa0Ponthot'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDOC0020-1,0.0,{},88,['Didier\xa0Van\xa0Caillie'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDOC0017-1,0.0,{},89,['Yasemin\xa0Arda'],0.0,{},0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
INFO9003-1,0.0,{},90,['Ashwin\xa0Ittoo'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDOC0021-1,0.0,{},91,['Willem\xa0Standaert'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYST0017-1,0.0,{},92,['Guillaume\xa0Drion'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECA0515-1,0.4558476577533948,"{""solaire etc. seconde"": 1, ""solaire etc."": 1, ""solaire"": 1, ""climatisation solaire etc."": 1, ""climatisation solaire"": 1, ""climatisation"": 1}",93,['Vincent\xa0Lemort'],0.0,{},0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
MCER2028-1,0.0,{},94,['Collégialité'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBIM2003-1,0.0,{},95,['Philippe\xa0Morimont'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMMU0523-1,0.0,{},96,"['Laurence\xa0Delacroix', 'Nathalie\xa0Jacobs']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBIM0496-2,0.0,{},97,"['Laurence\xa0Delacroix', 'Pascal\xa0De\xa0Tullio', 'Keith\xa0Durkin', 'François\xa0Jouret', 'Sabine\xa0Wislet']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUR2043-1,0.0,{},98,"['Rachelle\xa0Franzen', 'Vincent\xa0Seutin']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LABO0433-2,0.0,{},99,['Sandra\xa0Ormenese'],0.0,{},0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
MCER2029-1,0.0,{},100,['Collégialité'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LABO0433-3,0.0,{},101,['Sandra\xa0Ormenese'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBIM0496-1,0.0,{},102,"['Laurence\xa0Delacroix', 'Pascal\xa0De\xa0Tullio', 'Keith\xa0Durkin', 'François\xa0Jouret', 'Sabine\xa0Wislet']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
